Convencao;Instrumento;Compasso_1;Forca_Primeira_Nota
C1;Repique;PE TE LE CO | PE -- LE CO | PE TE LE -- | -- -- -- --;
C1;Caixa;PE TE LE CO | PE -- LE CO | PE TE LE -- | -- -- -- --;
C1;Xequerê;pe -- le -- | pe -- le -- | pe -- le -- | pe -- -- --;
C1;Dobra;-- -- -- -- | -- -- -- -- | -- -- -- -- | pe te le co;pe
C1;Fundo 1;-- -- -- -- | -- -- -- -- | -- -- -- -- | pe te le co;pe
C1;Fundo 2;-- -- -- -- | -- -- -- -- | -- -- -- -- | pe te le co;pe
C2;Dobra;-- -- -- -- | -- -- -- -- | pe -- le -- | pe -- -- --;
C3;Dobra;pe -- -- -- | -- -- -- -- | -- -- la    | pe ta la   ;pe
Forró 1;Dobra;-- -- -- -- | -- -- le -- | -- -- -- -- | -- -- -- --;
Forró 2;Dobra;-- te le -- | -- te le -- | -- -- -- -- | -- -- -- --;
Forró 3;Dobra;pe -- -- co | -- te -- -- | -- -- -- -- | -- -- -- --;
C3;Caixa;-- -- la   | pe ta la | pe -- -- -- | -- -- -- --;
C2;Caixa;pe -- le co | -- te le -- | -- -- -- -- | -- -- -- --;
C6;Dobra;-- -- -- -- | pe.ta.la le -- | -- -- -- -- | pe.ta.la le --;
C6;Caixa;pe.ta.la le -- | -- -- -- -- | pe.ta.la le -- | -- -- -- -- ;
C4;Dobra;-- -- -- -- | -- -- -- -- | pe ta la | pe -- -- --;
C5;Dobra;pe -- -- -- | -- -- -- -- | pe te le co | pe te le co;pe
C7;Dobra;-- -- -- -- | -- -- le -- | -- -- le -- | -- -- le --;
C2;Fundo 1;-- -- -- -- | -- -- -- -- | pe -- le -- | pe -- -- --;
C2;Fundo 2;-- -- -- -- | -- -- -- -- | pe -- le -- | pe -- -- --;
C2;Xequerê;-- -- -- -- | -- -- -- -- | pe -- le -- | pe -- -- --;
C2;Repique;pe -- le co | -- te le -- | -- -- -- -- | -- -- -- --;
C3;Repique;-- -- la   | pe ta la | pe -- -- -- | -- -- -- --;
C3;Fundo 1;pe -- -- -- | -- -- -- -- | -- -- la    | pe ta la   ;pe
C3;Fundo 2;pe -- -- -- | -- -- -- -- | -- -- la    | pe ta la   ;pe
C3;Xequerê;pe -- -- -- | -- -- -- -- | -- -- la    | pe ta la   ;pe
C4;Fundo 1;-- -- -- -- | -- -- -- -- | pe ta la | pe -- -- --;
C4;Fundo 2;-- -- -- -- | -- -- -- -- | pe ta la | pe -- -- --;
C4;Xequerê;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;
C4;Repique;pe -- -- co | -- te.te le -- | -- -- -- -- | -- -- -- --;
C4;Caixa;pe -- -- co | -- te.te le -- | -- -- -- -- | -- -- -- --;
C5;Caixa;-- te le co | pe -- le.le -- | -- -- -- -- | -- -- -- --;
C5;Fundo 1;pe -- -- -- | -- -- -- -- | pe te le co | pe te le co;pe
C5;Fundo 2;pe -- -- -- | -- -- -- -- | pe te le co | pe te le co;pe
C5;Xequerê;-- -- -- -- | pe -- le -- | -- -- -- -- | -- -- -- --;
